id,name,base_xp,height,weight,nabilities,abilities,meanstats,stats,ntypes,types,islegendary
60,poliwag,60,60,12.4,3,"['water-absorb', 'damp', 'swift-swim']",50,"{'hp': 40, 'attack': 50, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",1,['water'],0
61,poliwhirl,135,100,20.0,3,"['water-absorb', 'damp', 'swift-swim']",64,"{'hp': 65, 'attack': 65, 'defense': 65, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",1,['water'],0
62,poliwrath,255,130,54.0,3,"['water-absorb', 'damp', 'swift-swim']",85,"{'hp': 90, 'attack': 95, 'defense': 95, 'special-attack': 70, 'special-defense': 90, 'speed': 70}",2,"['water', 'fighting']",0
63,abra,62,90,19.5,3,"['synchronize', 'inner-focus', 'magic-guard']",51,"{'hp': 25, 'attack': 20, 'defense': 15, 'special-attack': 105, 'special-defense': 55, 'speed': 90}",1,['psychic'],0
64,kadabra,140,130,56.5,3,"['synchronize', 'inner-focus', 'magic-guard']",66,"{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 120, 'special-defense': 70, 'speed': 105}",1,['psychic'],0
65,alakazam,250,150,48.0,3,"['synchronize', 'inner-focus', 'magic-guard']",83,"{'hp': 55, 'attack': 50, 'defense': 45, 'special-attack': 135, 'special-defense': 95, 'speed': 120}",1,['psychic'],0
66,machop,61,80,19.5,3,"['guts', 'no-guard', 'steadfast']",50,"{'hp': 70, 'attack': 80, 'defense': 50, 'special-attack': 35, 'special-defense': 35, 'speed': 35}",1,['fighting'],0
67,machoke,142,150,70.5,3,"['guts', 'no-guard', 'steadfast']",67,"{'hp': 80, 'attack': 100, 'defense': 70, 'special-attack': 50, 'special-defense': 60, 'speed': 45}",1,['fighting'],0
68,machamp,253,160,130.0,3,"['guts', 'no-guard', 'steadfast']",84,"{'hp': 90, 'attack': 130, 'defense': 80, 'special-attack': 65, 'special-defense': 85, 'speed': 55}",1,['fighting'],0
69,bellsprout,60,70,4.0,2,"['chlorophyll', 'gluttony']",50,"{'hp': 50, 'attack': 75, 'defense': 35, 'special-attack': 70, 'special-defense': 30, 'speed': 40}",2,"['grass', 'poison']",0
70,weepinbell,137,100,6.4,2,"['chlorophyll', 'gluttony']",65,"{'hp': 65, 'attack': 90, 'defense': 50, 'special-attack': 85, 'special-defense': 45, 'speed': 55}",2,"['grass', 'poison']",0
71,victreebel,221,170,15.5,2,"['chlorophyll', 'gluttony']",81,"{'hp': 80, 'attack': 105, 'defense': 65, 'special-attack': 100, 'special-defense': 70, 'speed': 70}",2,"['grass', 'poison']",0
72,tentacool,67,90,45.5,3,"['clear-body', 'liquid-ooze', 'rain-dish']",55,"{'hp': 40, 'attack': 40, 'defense': 35, 'special-attack': 50, 'special-defense': 100, 'speed': 70}",2,"['water', 'poison']",0
73,tentacruel,180,160,55.0,3,"['clear-body', 'liquid-ooze', 'rain-dish']",85,"{'hp': 80, 'attack': 70, 'defense': 65, 'special-attack': 80, 'special-defense': 120, 'speed': 100}",2,"['water', 'poison']",0
74,geodude,60,40,20.0,3,"['rock-head', 'sturdy', 'sand-veil']",50,"{'hp': 40, 'attack': 80, 'defense': 100, 'special-attack': 30, 'special-defense': 30, 'speed': 20}",2,"['rock', 'ground']",0
75,graveler,137,100,105.0,3,"['rock-head', 'sturdy', 'sand-veil']",65,"{'hp': 55, 'attack': 95, 'defense': 115, 'special-attack': 45, 'special-defense': 45, 'speed': 35}",2,"['rock', 'ground']",0
76,golem,223,140,300.0,3,"['rock-head', 'sturdy', 'sand-veil']",82,"{'hp': 80, 'attack': 120, 'defense': 130, 'special-attack': 55, 'special-defense': 65, 'speed': 45}",2,"['rock', 'ground']",0
77,ponyta,82,100,30.0,3,"['run-away', 'flash-fire', 'flame-body']",68,"{'hp': 50, 'attack': 85, 'defense': 55, 'special-attack': 65, 'special-defense': 65, 'speed': 90}",1,['fire'],0
78,rapidash,175,170,95.0,3,"['run-away', 'flash-fire', 'flame-body']",83,"{'hp': 65, 'attack': 100, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 105}",1,['fire'],0
79,slowpoke,63,120,36.0,3,"['oblivious', 'own-tempo', 'regenerator']",52,"{'hp': 90, 'attack': 65, 'defense': 65, 'special-attack': 40, 'special-defense': 40, 'speed': 15}",2,"['water', 'psychic']",0
80,slowbro,172,160,78.5,3,"['oblivious', 'own-tempo', 'regenerator']",81,"{'hp': 95, 'attack': 75, 'defense': 110, 'special-attack': 100, 'special-defense': 80, 'speed': 30}",2,"['water', 'psychic']",0
81,magnemite,65,30,6.0,3,"['magnet-pull', 'sturdy', 'analytic']",54,"{'hp': 25, 'attack': 35, 'defense': 70, 'special-attack': 95, 'special-defense': 55, 'speed': 45}",2,"['electric', 'steel']",0
82,magneton,163,100,60.0,3,"['magnet-pull', 'sturdy', 'analytic']",77,"{'hp': 50, 'attack': 60, 'defense': 95, 'special-attack': 120, 'special-defense': 70, 'speed': 70}",2,"['electric', 'steel']",0
83,farfetchd,132,80,15.0,3,"['keen-eye', 'inner-focus', 'defiant']",62,"{'hp': 52, 'attack': 90, 'defense': 55, 'special-attack': 58, 'special-defense': 62, 'speed': 60}",2,"['normal', 'flying']",0
84,doduo,62,140,39.2,3,"['run-away', 'early-bird', 'tangled-feet']",51,"{'hp': 35, 'attack': 85, 'defense': 45, 'special-attack': 35, 'special-defense': 35, 'speed': 75}",2,"['normal', 'flying']",0
85,dodrio,165,180,85.2,3,"['run-away', 'early-bird', 'tangled-feet']",78,"{'hp': 60, 'attack': 110, 'defense': 70, 'special-attack': 60, 'special-defense': 60, 'speed': 110}",2,"['normal', 'flying']",0
86,seel,65,110,90.0,3,"['thick-fat', 'hydration', 'ice-body']",54,"{'hp': 65, 'attack': 45, 'defense': 55, 'special-attack': 45, 'special-defense': 70, 'speed': 45}",1,['water'],0
87,dewgong,166,170,120.0,3,"['thick-fat', 'hydration', 'ice-body']",79,"{'hp': 90, 'attack': 70, 'defense': 80, 'special-attack': 70, 'special-defense': 95, 'speed': 70}",2,"['water', 'ice']",0
88,grimer,65,90,30.0,3,"['stench', 'sticky-hold', 'poison-touch']",54,"{'hp': 80, 'attack': 80, 'defense': 50, 'special-attack': 40, 'special-defense': 50, 'speed': 25}",1,['poison'],0
89,muk,175,120,30.0,3,"['stench', 'sticky-hold', 'poison-touch']",83,"{'hp': 105, 'attack': 105, 'defense': 75, 'special-attack': 65, 'special-defense': 100, 'speed': 50}",1,['poison'],0
90,shellder,61,30,4.0,3,"['shell-armor', 'skill-link', 'overcoat']",50,"{'hp': 30, 'attack': 65, 'defense': 100, 'special-attack': 45, 'special-defense': 25, 'speed': 40}",1,['water'],0
91,cloyster,184,150,132.5,3,"['shell-armor', 'skill-link', 'overcoat']",87,"{'hp': 50, 'attack': 95, 'defense': 180, 'special-attack': 85, 'special-defense': 45, 'speed': 70}",2,"['water', 'ice']",0
92,gastly,62,130,0.1,1,['levitate'],51,"{'hp': 30, 'attack': 35, 'defense': 30, 'special-attack': 100, 'special-defense': 35, 'speed': 80}",2,"['ghost', 'poison']",0
93,haunter,142,160,0.1,1,['levitate'],67,"{'hp': 45, 'attack': 50, 'defense': 45, 'special-attack': 115, 'special-defense': 55, 'speed': 95}",2,"['ghost', 'poison']",0
94,gengar,250,150,40.5,1,['cursed-body'],83,"{'hp': 60, 'attack': 65, 'defense': 60, 'special-attack': 130, 'special-defense': 75, 'speed': 110}",2,"['ghost', 'poison']",0
95,onix,77,880,210.0,3,"['rock-head', 'sturdy', 'weak-armor']",64,"{'hp': 35, 'attack': 45, 'defense': 160, 'special-attack': 30, 'special-defense': 45, 'speed': 70}",2,"['rock', 'ground']",0
96,drowzee,66,100,32.4,3,"['insomnia', 'forewarn', 'inner-focus']",54,"{'hp': 60, 'attack': 48, 'defense': 45, 'special-attack': 43, 'special-defense': 90, 'speed': 42}",1,['psychic'],0
97,hypno,169,160,75.6,3,"['insomnia', 'forewarn', 'inner-focus']",80,"{'hp': 85, 'attack': 73, 'defense': 70, 'special-attack': 73, 'special-defense': 115, 'speed': 67}",1,['psychic'],0
98,krabby,65,40,6.5,3,"['hyper-cutter', 'shell-armor', 'sheer-force']",54,"{'hp': 30, 'attack': 105, 'defense': 90, 'special-attack': 25, 'special-defense': 25, 'speed': 50}",1,['water'],0
99,kingler,166,130,60.0,3,"['hyper-cutter', 'shell-armor', 'sheer-force']",79,"{'hp': 55, 'attack': 130, 'defense': 115, 'special-attack': 50, 'special-defense': 50, 'speed': 75}",1,['water'],0
100,voltorb,66,50,10.4,3,"['soundproof', 'static', 'aftermath']",55,"{'hp': 40, 'attack': 30, 'defense': 50, 'special-attack': 55, 'special-defense': 55, 'speed': 100}",1,['electric'],0
101,electrode,172,120,66.6,3,"['soundproof', 'static', 'aftermath']",81,"{'hp': 60, 'attack': 50, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 150}",1,['electric'],0
102,exeggcute,65,40,2.5,2,"['chlorophyll', 'harvest']",54,"{'hp': 60, 'attack': 40, 'defense': 80, 'special-attack': 60, 'special-defense': 45, 'speed': 40}",2,"['grass', 'psychic']",0
103,exeggutor,186,200,120.0,2,"['chlorophyll', 'harvest']",88,"{'hp': 95, 'attack': 95, 'defense': 85, 'special-attack': 125, 'special-defense': 75, 'speed': 55}",2,"['grass', 'psychic']",0
104,cubone,64,40,6.5,3,"['rock-head', 'lightning-rod', 'battle-armor']",53,"{'hp': 50, 'attack': 50, 'defense': 95, 'special-attack': 40, 'special-defense': 50, 'speed': 35}",1,['ground'],0
105,marowak,149,100,45.0,3,"['rock-head', 'lightning-rod', 'battle-armor']",70,"{'hp': 60, 'attack': 80, 'defense': 110, 'special-attack': 50, 'special-defense': 80, 'speed': 45}",1,['ground'],0
106,hitmonlee,159,150,49.8,3,"['limber', 'reckless', 'unburden']",75,"{'hp': 50, 'attack': 120, 'defense': 53, 'special-attack': 35, 'special-defense': 110, 'speed': 87}",1,['fighting'],0
107,hitmonchan,159,140,50.2,3,"['keen-eye', 'iron-fist', 'inner-focus']",75,"{'hp': 50, 'attack': 105, 'defense': 79, 'special-attack': 35, 'special-defense': 110, 'speed': 76}",1,['fighting'],0
108,lickitung,77,120,65.5,3,"['own-tempo', 'oblivious', 'cloud-nine']",64,"{'hp': 90, 'attack': 55, 'defense': 75, 'special-attack': 60, 'special-defense': 75, 'speed': 30}",1,['normal'],0
109,koffing,68,60,1.0,3,"['levitate', 'neutralizing-gas', 'stench']",56,"{'hp': 40, 'attack': 65, 'defense': 95, 'special-attack': 60, 'special-defense': 45, 'speed': 35}",1,['poison'],0
110,weezing,172,120,9.5,3,"['levitate', 'neutralizing-gas', 'stench']",81,"{'hp': 65, 'attack': 90, 'defense': 120, 'special-attack': 85, 'special-defense': 70, 'speed': 60}",1,['poison'],0
111,rhyhorn,69,100,115.0,3,"['lightning-rod', 'rock-head', 'reckless']",57,"{'hp': 80, 'attack': 85, 'defense': 95, 'special-attack': 30, 'special-defense': 30, 'speed': 25}",2,"['ground', 'rock']",0
112,rhydon,170,190,120.0,3,"['lightning-rod', 'rock-head', 'reckless']",80,"{'hp': 105, 'attack': 130, 'defense': 120, 'special-attack': 45, 'special-defense': 45, 'speed': 40}",2,"['ground', 'rock']",0
113,chansey,395,110,34.6,3,"['natural-cure', 'serene-grace', 'healer']",75,"{'hp': 250, 'attack': 5, 'defense': 5, 'special-attack': 35, 'special-defense': 105, 'speed': 50}",1,['normal'],0
114,tangela,87,100,35.0,3,"['chlorophyll', 'leaf-guard', 'regenerator']",72,"{'hp': 65, 'attack': 55, 'defense': 115, 'special-attack': 100, 'special-defense': 40, 'speed': 60}",1,['grass'],0
115,kangaskhan,172,220,80.0,3,"['early-bird', 'scrappy', 'inner-focus']",81,"{'hp': 105, 'attack': 95, 'defense': 80, 'special-attack': 40, 'special-defense': 80, 'speed': 90}",1,['normal'],0
116,horsea,59,40,8.0,3,"['swift-swim', 'sniper', 'damp']",49,"{'hp': 30, 'attack': 40, 'defense': 70, 'special-attack': 70, 'special-defense': 25, 'speed': 60}",1,['water'],0
117,seadra,154,120,25.0,3,"['poison-point', 'sniper', 'damp']",73,"{'hp': 55, 'attack': 65, 'defense': 95, 'special-attack': 95, 'special-defense': 45, 'speed': 85}",1,['water'],0
118,goldeen,64,60,15.0,3,"['swift-swim', 'water-veil', 'lightning-rod']",53,"{'hp': 45, 'attack': 67, 'defense': 60, 'special-attack': 35, 'special-defense': 50, 'speed': 63}",1,['water'],0
119,seaking,158,130,39.0,3,"['swift-swim', 'water-veil', 'lightning-rod']",75,"{'hp': 80, 'attack': 92, 'defense': 65, 'special-attack': 65, 'special-defense': 80, 'speed': 68}",1,['water'],0
120,staryu,68,80,34.5,3,"['illuminate', 'natural-cure', 'analytic']",56,"{'hp': 30, 'attack': 45, 'defense': 55, 'special-attack': 70, 'special-defense': 55, 'speed': 85}",1,['water'],0
121,starmie,182,110,80.0,3,"['illuminate', 'natural-cure', 'analytic']",86,"{'hp': 60, 'attack': 75, 'defense': 85, 'special-attack': 100, 'special-defense': 85, 'speed': 115}",2,"['water', 'psychic']",0
122,mr-mime,161,130,54.5,3,"['soundproof', 'filter', 'technician']",76,"{'hp': 40, 'attack': 45, 'defense': 65, 'special-attack': 100, 'special-defense': 120, 'speed': 90}",2,"['psychic', 'fairy']",0
123,scyther,100,150,56.0,3,"['swarm', 'technician', 'steadfast']",83,"{'hp': 70, 'attack': 110, 'defense': 80, 'special-attack': 55, 'special-defense': 80, 'speed': 105}",2,"['bug', 'flying']",0
124,jynx,159,140,40.6,3,"['oblivious', 'forewarn', 'dry-skin']",75,"{'hp': 65, 'attack': 50, 'defense': 35, 'special-attack': 115, 'special-defense': 95, 'speed': 95}",2,"['ice', 'psychic']",0
125,electabuzz,172,110,30.0,2,"['static', 'vital-spirit']",81,"{'hp': 65, 'attack': 83, 'defense': 57, 'special-attack': 95, 'special-defense': 85, 'speed': 105}",1,['electric'],0
126,magmar,173,130,44.5,2,"['flame-body', 'vital-spirit']",82,"{'hp': 65, 'attack': 95, 'defense': 57, 'special-attack': 100, 'special-defense': 85, 'speed': 93}",1,['fire'],0
127,pinsir,175,150,55.0,3,"['hyper-cutter', 'mold-breaker', 'moxie']",83,"{'hp': 65, 'attack': 125, 'defense': 100, 'special-attack': 55, 'special-defense': 70, 'speed': 85}",1,['bug'],0
128,tauros,172,140,88.4,3,"['intimidate', 'anger-point', 'sheer-force']",81,"{'hp': 75, 'attack': 100, 'defense': 95, 'special-attack': 40, 'special-defense': 70, 'speed': 110}",1,['normal'],0
129,magikarp,40,90,10.0,2,"['swift-swim', 'rattled']",33,"{'hp': 20, 'attack': 10, 'defense': 55, 'special-attack': 15, 'special-defense': 20, 'speed': 80}",1,['water'],0
130,gyarados,189,650,235.0,2,"['intimidate', 'moxie']",90,"{'hp': 95, 'attack': 125, 'defense': 79, 'special-attack': 60, 'special-defense': 100, 'speed': 81}",2,"['water', 'flying']",0
131,lapras,187,250,220.0,3,"['water-absorb', 'shell-armor', 'hydration']",89,"{'hp': 130, 'attack': 85, 'defense': 80, 'special-attack': 85, 'special-defense': 95, 'speed': 60}",2,"['water', 'ice']",0
132,ditto,101,30,4.0,2,"['limber', 'imposter']",48,"{'hp': 48, 'attack': 48, 'defense': 48, 'special-attack': 48, 'special-defense': 48, 'speed': 48}",1,['normal'],0
133,eevee,65,30,6.5,3,"['run-away', 'adaptability', 'anticipation']",54,"{'hp': 55, 'attack': 55, 'defense': 50, 'special-attack': 45, 'special-defense': 65, 'speed': 55}",1,['normal'],0
